"","exper_init_var","exper_ssid_var","demand","feedb_awar_var","feedb_blef_var","video_awar_var","heard_awar_var","block.num","trial","anger","happy","hap","sat","enj","agg","irr","ann","dif"
"101","TKA",117,"neu",4,3,0,0,1,"neut",0,0,0,0,0,0,0,0,1
"102","TKA",117,"neu",4,3,0,0,2,"neut",0,0,0,0,0,0,0,0,1
"103","MAM",118,"neg",1,3,0,0,1,"angr",0.666666666666667,0,0,0,0,0,1,1,1
"104","MAM",118,"neg",1,3,0,0,2,"angr",1,0,0,0,0,1,1,1,1
"105","MAM",118,"neg",1,3,0,0,1,"happ",0,3.33333333333333,4,2,4,0,0,0,1
"106","MAM",118,"neg",1,3,0,0,2,"happ",0,2.33333333333333,3,1,3,0,0,0,1
"107","MAM",118,"neg",1,3,0,0,1,"neut",1,0.333333333333333,1,0,0,1,0,2,1
"108","MAM",118,"neg",1,3,0,0,2,"neut",0.333333333333333,0,0,0,0,0,0,1,1
"109","JOB",119,"neu",1,1,0,0,1,"angr",0.333333333333333,0.333333333333333,0,1,0,0,1,0,1
"110","JOB",119,"neu",1,1,0,0,2,"angr",0.333333333333333,0.333333333333333,0,0,1,0,1,0,1
"111","JOB",119,"neu",1,1,0,0,1,"happ",0,0.666666666666667,1,1,0,0,0,0,1
"112","JOB",119,"neu",1,1,0,0,2,"happ",0,0,0,0,0,0,0,0,3
"113","JOB",119,"neu",1,1,0,0,1,"neut",0.333333333333333,0,0,0,0,1,0,0,2
"114","JOB",119,"neu",1,1,0,0,2,"neut",0,0.666666666666667,1,0,1,0,0,0,1
"115","klp",120,"neg",3,2,0,0,1,"angr",0,3.33333333333333,4,3,3,0,0,0,1
"116","klp",120,"neg",3,2,0,0,2,"angr",0,3,3,3,3,0,0,0,1
"117","klp",120,"neg",3,2,0,0,1,"happ",0,3,3,3,3,0,0,0,1
"118","klp",120,"neg",3,2,0,0,2,"happ",0,3,3,3,3,0,0,0,1
"119","klp",120,"neg",3,2,0,0,1,"neut",0,3,3,3,3,0,0,0,1
"120","klp",120,"neg",3,2,0,0,2,"neut",0,3,3,3,3,0,0,0,1
"121","TSS",121,"pos",4,3,2,0,1,"angr",0,0,0,0,0,0,0,0,1
"122","TSS",121,"pos",4,3,2,0,2,"angr",1,0,0,0,0,1,1,1,1
"123","TSS",121,"pos",4,3,2,0,1,"happ",0,2,2,2,2,0,0,0,1
"124","TSS",121,"pos",4,3,2,0,2,"happ",0,1,1,1,1,0,0,0,1
"125","TSS",121,"pos",4,3,2,0,1,"neut",0,0,0,0,0,0,0,0,1
"126","TSS",121,"pos",4,3,2,0,2,"neut",0,0,0,0,0,0,0,0,1
"127","CBV",122,"pos",4,3,0,0,1,"angr",0,0,0,0,0,0,0,0,2
"128","CBV",122,"pos",4,3,0,0,2,"angr",0.666666666666667,0,0,0,0,0,1,1,2
"129","CBV",122,"pos",4,3,0,0,1,"happ",0,2,2,2,2,0,0,0,1
"130","CBV",122,"pos",4,3,0,0,2,"happ",0,2,2,2,2,0,0,0,1
"131","CBV",122,"pos",4,3,0,0,1,"neut",0,2,2,2,2,0,0,0,1
"132","CBV",122,"pos",4,3,0,0,2,"neut",0,0,0,0,0,0,0,0,1
"133","TSS",123,"pos",4,4,0,0,1,"angr",1,0,0,0,0,1,1,1,2
"134","TSS",123,"pos",4,4,0,0,2,"angr",1.66666666666667,0,0,0,0,1,1,3,2
"135","TSS",123,"pos",4,4,0,0,1,"happ",0.333333333333333,1,1,1,1,0,1,0,1
"136","TSS",123,"pos",4,4,0,0,2,"happ",0,0.666666666666667,0,1,1,0,0,0,2
"137","TSS",123,"pos",4,4,0,0,1,"neut",1,0,0,0,0,0,0,3,1
"138","TSS",123,"pos",4,4,0,0,2,"neut",1,0,0,0,0,0,0,3,1
"139","klp",124,"pos",0,NA,1,0,1,"angr",0.666666666666667,0,0,0,0,1,0,1,1
"140","klp",124,"pos",0,NA,1,0,2,"angr",2,0,0,0,0,2,2,2,1
"141","klp",124,"pos",0,NA,1,0,1,"happ",0.333333333333333,0,0,0,0,0,0,1,1
"142","klp",124,"pos",0,NA,1,0,2,"happ",1,0,0,0,0,0,1,2,1
"143","klp",124,"pos",0,NA,1,0,1,"neut",0,0,0,0,0,0,0,0,1
"144","klp",124,"pos",0,NA,1,0,2,"neut",0,0,0,0,0,0,0,0,1
"145","klp",125,"neu",1,NA,0,0,1,"angr",0.333333333333333,0.333333333333333,0,1,0,0,1,0,2
"146","klp",125,"neu",1,NA,0,0,2,"angr",1.33333333333333,0,0,0,0,0,2,2,4
"147","klp",125,"neu",1,NA,0,0,1,"happ",0,2.66666666666667,3,2,3,0,0,0,2
"148","klp",125,"neu",1,NA,0,0,2,"happ",0,0.666666666666667,1,0,1,0,0,0,2
"149","klp",125,"neu",1,NA,0,0,1,"neut",0,0,0,0,0,0,0,0,1
"150","klp",125,"neu",1,NA,0,0,2,"neut",0.333333333333333,0,0,0,0,0,1,0,2
"151","NAC",126,"pos",4,3,0,0,1,"angr",0.333333333333333,1,0,2,1,1,0,0,3
